,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9813,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19196818.0,19196818.0,,1,,,,2022-11-03T04:39:00.000Z,20352.214416899234,56255880986.176285,44.8551,0.14940379,-0.87744298,-2.02219386,3.79141911,2.93067433,-12.12893112,390697756058.19073,38.7014,427396502754.88,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
1,1027,Ethereum,ETH,ethereum,6168,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373863.499,122373863.499,,2,,,,2022-11-03T04:39:00.000Z,1553.0864289490885,24381194958.30921,74.1738,0.09411565,-2.42622518,-0.1358237,16.72100516,0.10725155,-6.33163514,190057186658.3651,18.8265,190057186658.37,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
2,825,Tether,USDT,tether,41493,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,69350342913.25587,72141766321.66891,,3,,,,2022-11-03T04:39:00.000Z,0.9999762442709677,79031910735.26997,43.1931,-0.00035321,0.00188373,-0.02585824,-0.01511396,-0.00801789,-0.01243203,69348695445.30133,6.8641,72140052541.42,,2022-11-03T04:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-11-03 04:40:29.480472+00:00
3,1839,BNB,BNB,bnb,1132,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,159977716.84719825,159979963.59042934,,4,,,,2022-11-03T04:39:00.000Z,324.4273606374396,1415651409.5278714,22.5121,0.37444115,-0.56472562,11.76146195,12.78415331,16.85708639,3.64763497,51901148437.540184,5.1412,64885472127.49,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
4,3408,USD Coin,USDC,usd-coin,6653,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,42542266647.8906,42542266647.8906,,5,,,,2022-11-03T04:39:00.000Z,1.0001841598822625,6206526616.637977,83.3561,-0.00245219,0.01173389,0.0333422,0.01097831,0.01543416,0.03429045,42550101226.70766,4.2149,42550101226.71,,2022-11-03T04:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-11-03 04:40:29.480472+00:00
5,52,XRP,XRP,xrp,831,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50085407159.0,99989240406.0,,6,,,,2022-11-03T04:39:00.000Z,0.45723995060016703,1449908763.7381344,19.487,-0.00097498,-0.83684319,-3.72409078,0.27323988,38.24078253,21.55789286,22901049095.170414,2.2685,45723995060.02,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
6,4687,Binance USD,BUSD,binance-usd,5377,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,21658670444.839256,21658670444.839256,,7,,,,2022-11-03T04:39:00.000Z,1.0007343638616386,8621475175.39289,26.3716,0.06814192,0.05573351,0.08730912,0.07384985,0.04960153,0.07615077,21674575789.705086,2.147,21674575789.71,,2022-11-03T04:39:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-11-03 04:40:29.480472+00:00
7,74,Dogecoin,DOGE,dogecoin,588,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,8,,,,2022-11-03T04:39:00.000Z,0.13427264940385605,4152655183.3219314,-46.5838,1.56687965,-6.83148257,72.24827911,122.70964488,114.88570224,96.72282542,17814055020.9813,1.7632,17814055020.98,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
8,2010,Cardano,ADA,cardano,585,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34330907829.432,35101471140.919,,9,,,,2022-11-03T04:39:00.000Z,0.39553156731841327,734056947.3809236,53.1106,0.08703454,-1.00350794,-2.56196348,-7.57568633,-19.86125363,-22.58251625,13578957781.239223,1.3451,17798920529.33,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
9,5426,Solana,SOL,solana,395,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,359331107.08825153,511616946.142289,,10,,,,2022-11-03T04:39:00.000Z,31.885844048336118,1245852503.7548192,70.9299,0.55990879,-1.22253815,1.14602392,-3.7640242,1.91289411,-20.24010826,11457575642.331953,1.1341,16313338157.18,,2022-11-03T04:39:00.000Z,,,,,,2022-11-03 04:40:29.480472+00:00
